"","Type","Bedrooms","Bathrooms","mean_price"
"187","Detached Apartment","1","1",1760.625
"188","Detached Apartment","2","1",2380.83333333333
"189","Detached Apartment","3","1",2413.33333333333
"190","Detached Apartment","3","2",4900
"191","Detached Bachelor/Studio","1","1",1542.5
"192","Detached Backsplit 3","2","2",1750
"193","Detached Backsplit 3","3","1",2700
"194","Detached Backsplit 3","4","3",3725
"195","Detached Backsplit 4","1","1",1800
"196","Detached Backsplit 4","3","2",2325
"197","Detached Backsplit 4","5","4",4500
"198","Detached Backsplit 5","3","2",2650
"199","Detached Bungaloft","2","1",1450
"200","Detached Bungalow","1","1",1440.90909090909
"201","Detached Bungalow","2","1",2052.61904761905
"202","Detached Bungalow","2","2",2703.57142857143
"203","Detached Bungalow","3","1",2312.22727272727
"204","Detached Bungalow","3","2",2543.21428571429
"205","Detached Bungalow","3","3",4635
"206","Detached Bungalow","4","1",2980
"207","Detached Bungalow","4","2",3250
"208","Detached Bungalow","4","3",4150
"209","Detached Bungalow","4","4",6500
"210","Detached Bungalow","5","2",3283
"211","Detached Bungalow","5","3",4783.33333333333
"212","Detached Bungalow","5","4",4700
"213","Detached Bungalow","6","2",3000
"214","Detached Bungalow","6","3",4600
"215","Detached Bungalow-Raised","1","1",1512.5
"216","Detached Bungalow-Raised","2","2",2150
"217","Detached Bungalow-Raised","4","2",3048
"218","Detached Bungalow-Raised","4","3",3800
"219","Detached Bungalow-Raised","4","4",3000
"220","Detached Bungalow-Raised","5","3",3999
"221","Detached Other","1","1",1950
"222","Detached Other","4","2",3500
"223","Detached Other","5","5",6000
"224","Detached Sidesplit 3","3","2",3533.33333333333
"225","Detached Sidesplit 3","3","3",4500
"226","Detached Sidesplit 3","4","2",2380
"227","Detached Sidesplit 3","4","4",3300
"228","Detached Sidesplit 3","5","4",3900
"229","Detached Sidesplit 4","2","2",1750
"230","Detached Sidesplit 4","3","2",2500
"231","Detached Sidesplit 4","4","3",4300
"232","Detached Sidesplit 5","5","5",4300
"233","Duplex 2-Storey","1","1",1645
"234","Duplex 2-Storey","2","1",2750
"235","Duplex 2-Storey","2","2",3425
"236","Duplex 2-Storey","3","1",3250
"237","Duplex 2-Storey","3","2",4000
"238","Duplex 2-Storey","3","3",3995
"239","Duplex 2 1/2 Storey","1","1",1800
"240","Duplex 2 1/2 Storey","2","1",2950
"241","Duplex 2 1/2 Storey","3","1",3200
"242","Duplex 2 1/2 Storey","3","2",6050
"243","Duplex 3-Storey","2","1",2795
"244","Duplex 3-Storey","3","2",4950
"245","Duplex Apartment","3","1",2300
"246","Duplex Bungalow","2","1",1950
"247","Fourplex 1 1/2 Storey","2","2",3000
"248","Fourplex 2-Storey","2","3",3500
"249","Fourplex 2-Storey","4","3",4600
"250","Fourplex 3-Storey","1","1",4500
"251","Fourplex 3-Storey","2","1",2895
"252","Fourplex 3-Storey","5","3",5895
"253","Fourplex Apartment","1","1",1100
"254","Fourplex Apartment","2","1",4462.5
"255","Fourplex Apartment","3","1",2450
"256","Lower Level 1 1/2 Storey","2","1",1500
"257","Lower Level 2-Storey","1","1",1691.33333333333
"258","Lower Level 2-Storey","2","1",2100
"259","Lower Level 2 1/2 Storey","2","1",1400
"260","Lower Level Apartment","1","1",1700
"261","Lower Level Apartment","2","1",1875
"262","Lower Level Bachelor/Studio","1","1",1000
"263","Lower Level Backsplit 4","2","1",1800
"264","Lower Level Bungalow","3","1",1850
"265","Lower Level Bungalow-Raised","2","1",1650
"266","Multiplex 2-Storey","2","1",2450
"267","Multiplex 3-Storey","1","1",1672.5
"268","Multiplex 3-Storey","2","2",2700
"269","Multiplex 3-Storey","3","1",2800
"270","Multiplex Apartment","1","1",1589.8
"271","Multiplex Apartment","1","2",3975
"272","Multiplex Apartment","2","1",2192
"273","Multiplex Apartment","3","1",2650
"274","Multiplex Bachelor/Studio","1","1",1495
"275","Other 2-Storey","1","1",2995
"276","Other 2-Storey","2","1",2800
"277","Other 2-Storey","3","2",3800
"278","Other 2-Storey","6","6",19500
"279","Other Apartment","1","1",1908.5
"280","Other Apartment","2","1",2223.58333333333
"281","Other Apartment","2","2",3698.33333333333
"282","Other Apartment","3","1",2550
"283","Other Apartment","3","2",3403.625
"284","Other Apartment","3","3",3300
"285","Other Apartment","5","6",19500
"286","Other Multi-Level","1","1",1875
"287","Other Other","1","1",3200
"288","Room 3-Storey","1","1",1500
"289","Semi-Detached 1 1/2 Storey","1","2",1995
"290","Semi-Detached 1 1/2 Storey","3","1",2150
"291","Semi-Detached 2-Storey","1","1",1961.78571428571
"292","Semi-Detached 2-Storey","2","1",2732.5
"293","Semi-Detached 2-Storey","2","2",3350
"294","Semi-Detached 2-Storey","3","1",3116.66666666667
"295","Semi-Detached 2-Storey","3","2",3701.53846153846
"296","Semi-Detached 2-Storey","3","3",3650
"297","Semi-Detached 2-Storey","3","4",3000
"298","Semi-Detached 2-Storey","4","2",3237.5
"299","Semi-Detached 2-Storey","4","4",5350
"300","Semi-Detached 2 1/2 Storey","1","1",2300
"301","Semi-Detached 2 1/2 Storey","2","1",1900
"302","Semi-Detached 2 1/2 Storey","3","1",2970
"303","Semi-Detached 2 1/2 Storey","4","1",3500
"304","Semi-Detached 2 1/2 Storey","4","2",4650
"305","Semi-Detached 2 1/2 Storey","4","3",7800
"306","Semi-Detached 2 1/2 Storey","4","4",4490
"307","Semi-Detached 2 1/2 Storey","5","2",5000
"308","Semi-Detached 3-Storey","1","1",2111
"309","Semi-Detached 3-Storey","2","1",2495
"310","Semi-Detached 3-Storey","2","2",4250
"311","Semi-Detached 3-Storey","3","1",4600
"312","Semi-Detached 3-Storey","3","4",10425
"313","Semi-Detached 3-Storey","4","1",3800
"314","Semi-Detached 3-Storey","4","2",4850
"315","Semi-Detached 3-Storey","4","3",4600
"316","Semi-Detached 3-Storey","4","5",22500
"317","Semi-Detached 3-Storey","5","2",3235
"318","Semi-Detached 3-Storey","5","4",6500
"319","Semi-Detached 3-Storey","5","5",7000
"320","Semi-Detached Apartment","1","1",1500
"321","Semi-Detached Apartment","2","1",2365
"322","Semi-Detached Apartment","3","1",3800
"323","Semi-Detached Bachelor/Studio","1","1",1400
"324","Semi-Detached Backsplit 3","4","3",3780
"325","Semi-Detached Backsplit 5","1","1",750
"326","Semi-Detached Backsplit 5","2","1",1480
"327","Semi-Detached Bungalow","2","1",1600
"328","Semi-Detached Bungalow","3","1",2200
"329","Semi-Detached Bungalow","4","2",2850
