"","Id","Address","Bedrooms","Bathrooms","Type","Price"
"2588","C4372789","5 Mallingham Crt, Toronto","3","3","Att/Row/Twnhouse 2-Storey",3550
"2589","C4293346","25 Montgomery Ave 902, Toronto","3","2","Other Apartment",3585
"2590","C4346784","4003 Bayview Ave 304, Toronto","3","2","Other Apartment",3587
"2591","C4383754","280 Simcoe St 906A, Toronto","2","2","Condo Apt Apartment",3590
"2592","C4398323","33 Lombard St 3206, Toronto","2","2","Condo Apt Apartment",3590
"2593","C4354867","3018 Yonge St 405, Toronto","2","2","Condo Apt Apartment",3590
"2594","C4375470","825 Church St 2905, Toronto","3","2","Condo Apt Apartment",3595
"2595","C4376352","18 Harbour St 3210, Toronto","3","2","Condo Apt Apartment",3600
"2596","C4393618","921 Adelaide St W B, Toronto","2","3","Condo Townhouse 2-Storey",3600
"2597","C4391971","33 Charles St E 4105, Toronto","3","2","Condo Apt Apartment",3600
"2598","C4386939","386 Yonge St 4410, Toronto","2","2","Condo Apt Apartment",3600
"2599","C4362236","15 Greenview Ave 2914, Toronto","2","2","Condo Apt Apartment",3600
"2600","C4370891","28 William Carson Cres 902, Toronto","3","2","Condo Apt Apartment",3600
"2601","C4325728","400 Wellington St W 709, Toronto","2","2","Condo Apt Loft",3600
"2602","C4397351","401 Queens Quay W 301, Toronto","2","2","Condo Apt Apartment",3600
"2603","E4365594","751 Queen St E Unit 2, Toronto","3","1","Upper Level Other",3600
"2604","C4360194","1402B Eglinton Ave W, Toronto","3","3","Att/Row/Twnhouse 3-Storey",3600
"2605","C4358265","15 Beverley St Th25, Toronto","2","1","Condo Townhouse 2-Storey",3600
"2606","C4377185","28 Hollywood Ave 503, Toronto","3","2","Condo Apt Apartment",3600
"2607","C4394146","501 St. Clair Ave W 1107, Toronto","2","2","Condo Apt Apartment",3600
"2608","C4398480","7 Oakburn Cres Th26, Toronto","3","3","Condo Townhouse 3-Storey",3600
"2609","C4375548","102 Mcgillivray Ave, Toronto","4","2","Detached Bungalow",3600
"2610","C4393458","74 Hargrave Lane, Toronto","4","3","Condo Townhouse 3-Storey",3600
"2611","C4350749","80 John St 1706, Toronto","3","2","Condo Apt Apartment",3600
"2612","C4389243","1 Bloor St E 2008, Toronto","2","2","Condo Apt Apartment",3600
"2613","C4398237","35 Hayden St 1305, Toronto","2","2","Condo Apt Apartment",3600
"2614","C4386747","2181 Yonge St 1705, Toronto","3","2","Condo Apt Apartment",3600
"2615","C4396370","1380 Eglinton Ave W, Toronto","3","2","Att/Row/Twnhouse 3-Storey",3600
"2616","C4343007","55 Skymark Dr 2504, Toronto","2","2","Condo Apt Apartment",3600
"2617","C4351590","763 Bay St 3408, Toronto","2","2","Condo Apt Apartment",3600
"2618","C4388553","101 St Clair Ave W 1908, Toronto","2","2","Condo Apt Apartment",3650
"2619","E4388375","37 Caroline Ave Upper, Toronto","3","1","Semi-Detached 2-Storey",3650
"2620","W4343044","2 Keele St 203, Toronto","2","2","Condo Apt Apartment",3650
"2621","C4385659","11 Brunel Crt 2612, Toronto","2","1","Condo Apt Apartment",3650
"2622","C4377604","825 Church St 3805, Toronto","3","2","Condo Apt Apartment",3650
"2623","C4342984","77 Mcmurrich St 307, Toronto","3","2","Condo Apt Apartment",3650
"2624","C4393253","825 Church St 1107, Toronto","3","2","Condo Apt Apartment",3650
"2625","C4376111","711 Bay St 1012, Toronto","3","2","Condo Apt Apartment",3680
"2626","C4398373","278 Bloor Street East St 306, Toronto","2","2","Comm Element Condo Other",3695
"2627","C4381049","1 Bloor St E 1610, Toronto","2","2","Condo Apt Apartment",3700
"2628","C4376508","79 Estelle Ave, Toronto","5","2","Detached 2-Storey",3700
"2629","C4387168","1 Bloor St E 1810, Toronto","2","2","Comm Element Condo Apartment",3700
"2630","C4375467","88 Harbour St Ph103, Toronto","1","2","Condo Apt Apartment",3700
"2631","C4366123","825 Church St 1607, Toronto","3","2","Condo Apt Apartment",3700
"2632","C4371541","293 Maplehurst Ave, Toronto","6","3","Detached Bungalow",3700
"2633","C4382416","43 Hanna Ave 708, Toronto","2","2","Condo Apt Apartment",3700
"2634","C4396585","22 Leader Lane 302, Toronto","2","2","Condo Apt Apartment",3700
"2635","C4372642","328 Spring Garden Ave, Toronto","5","3","Detached 2-Storey",3700
"2636","C4382225","8 York St 1906, Toronto","4","2","Condo Apt Apartment",3700
"2637","C4357788","8 Mercer St 1508, Toronto","3","2","Condo Apt Apartment",3700
"2638","C4383959","75 Portland St 618, Toronto","2","1","Condo Apt Loft",3700
"2639","C4391739","217 Grandview Way, Toronto","3","3","Condo Townhouse 3-Storey",3700
"2640","C4369070","5168 Yonge St 1115, Toronto","3","3","Condo Apt Apartment",3700
"2641","C4346789","4001 Bayview Ave 904, Toronto","3","2","Other Apartment",3717
"2642","C4359981","101 St Clair Ave W 1508, Toronto","2","2","Condo Apt Apartment",3745
"2643","C4349660","218 Queens Quay W 2611, Toronto","3","2","Condo Apt Apartment",3750
"2644","C4392569","215 Queen St W 2505, Toronto","3","2","Condo Apt Apartment",3750
"2645","C4329984","832 Bay St 4303, Toronto","3","2","Condo Apt Apartment",3750
"2646","W4375680","2261 Lake Shore Blvd W 314, Toronto","3","2","Condo Apt Apartment",3750
"2647","C4323635","45 Leacock Cres, Toronto","4","4","Detached 2-Storey",3750
"2648","W4369806","47 Watson Ave, Toronto","3","2","Semi-Detached 2-Storey",3750
"2649","C4364855","270 Wellington St W 1017, Toronto","2","2","Condo Apt Apartment",3750
"2650","C4371856","8 The Esplanade 1206, Toronto","2","2","Condo Apt Apartment",3750
"2651","C4376855","278 Albany Ave, Toronto","3","2","Semi-Detached 2-Storey",3750
"2652","C4394521","88 Scott St 206, Toronto","3","2","Condo Apt Apartment",3750
"2653","C4389224","140 Clinton St, Toronto","3","2","Semi-Detached 2-Storey",3750
"2654","C4344989","168 Three Valleys Dr W, Toronto","4","3","Semi-Detached Backsplit 3",3780
"2655","C4379643","208 Queens Quay W 1207, Toronto","3","2","Condo Apt Apartment",3799
"2656","C4377174","99 Hayden St 905, Toronto","3","2","Condo Apt Apartment",3800
"2657","C4395518","725 Palmerston Blvd Upper, Toronto","3","1","Semi-Detached Apartment",3800
"2658","C4346823","89 Mcgill St 3111, Toronto","3","2","Condo Apt Apartment",3800
"2659","C4312395","31 Alma Ave 4, Toronto","3","2","Other 2-Storey",3800
"2660","W4387006","41 Canterbury Cres, Toronto","4","3","Detached Bungalow-Raised",3800
"2661","W4343732","2 Keele St 202, Toronto","2","2","Condo Apt Apartment",3800
"2662","C4380250","880 Grandview Way 1206, Toronto","4","2","Condo Apt Apartment",3800
"2663","C4384998","70 Roehampton Ave 2115, Toronto","3","2","Condo Apt Apartment",3800
"2664","C4378757","8 Mercer St 2805, Toronto","2","2","Condo Apt Apartment",3800
"2665","C4351442","22 Glenbrae Ave, Toronto","3","2","Semi-Detached 2-Storey",3800
"2666","C4383746","111 Elizabeth St 1550, Toronto","3","2","Condo Apt Apartment",3800
"2667","E4348219","43 Alton Ave, Toronto","4","1","Semi-Detached 3-Storey",3800
"2668","C4397062","87 Peter St Ph312, Toronto","3","2","Condo Apt Apartment",3800
"2669","W4342073","23 Old Oak Rd, Toronto","3","2","Detached 1 1/2 Storey",3800
"2670","C4352254","25 Soho St P310, Toronto","2","2","Condo Apt 2-Storey",3800
"2671","C4391476","168 Simcoe St Ph10, Toronto","2","2","Condo Apt Multi-Level",3800
"2672","C4395742","33 Charles St E 4203, Toronto","3","2","Condo Apt Apartment",3800
"2673","C4386661","15 Greenview Ave 2413, Toronto","3","2","Condo Apt Apartment",3800
"2674","E4380268","20 White Pine Ave, Toronto","4","3","Detached Bungalow",3800
"2675","C4397031","211 St Patrick St 402, Toronto","2","2","Condo Apt Apartment",3800
"2676","C4383760","1 Bloor St E 907, Toronto","2","2","Condo Apt Apartment",3800
"2677","W4396692","3 Robaldon Rd, Toronto","6","5","Detached 2-Storey",3800
"2678","C4368268","85A Douglas Cres, Toronto","3","4","Condo Townhouse 3-Storey",3850
"2679","W4372168","1 Lomond Dr 610, Toronto","2","2","Condo Apt Apartment",3850
"2680","C4372020","1001 Bay St 2804, Toronto","3","2","Condo Apt Apartment",3850
"2681","C4364307","80 John St 2309, Toronto","2","1","Condo Apt Apartment",3850
"2682","C4392636","393 Kenneth Ave, Toronto","3","4","Att/Row/Twnhouse 2-Storey",3850
"2683","C4374873","246 Finch Ave E, Toronto","4","4","Att/Row/Twnhouse 3-Storey",3850
"2684","W4383273","10 Larkin Ave, Toronto","3","2","Detached 2-Storey",3890
"2685","W4352465","100 Quebec Ave 901, Toronto","3","2","Condo Apt Apartment",3899
"2686","C4366427","1 Bloor St E 4707, Toronto","3","2","Comm Element Condo Multi-Level",3900
"2687","E4394003","392 Jones Ave, Toronto","3","6","Att/Row/Twnhouse 2-Storey",3900
