daydate,count,tone
20160115,158,-0.15469741536050488
20160116,31,-0.39568849213491258
20160117,20,0.030988499331825958
20160118,157,0.36592759380667517
20160119,108,0.35108066497150231
20160120,106,0.34413079817395886
20160121,120,0.013549052401471036
20160122,122,-0.65781264073158319
20160123,78,-2.0956601755718869
20160124,21,-0.50555283401615725
20160125,107,-0.72097203484910111
20160126,145,0.15376501478927052
20160127,323,-1.1891100999221993
20160128,228,-0.53928671942667084
20160129,87,0.19152062112820076
20160130,81,-0.91760305139066756
20160131,25,-0.04859432846516204
20160201,71,0.541537251642898
20160202,91,1.0052324714842089
20160203,154,0.73193215734783379
20160204,151,-0.22653305102883964
20160205,149,0.23824624478124906
20160206,27,0.0544241077307705
20160207,17,1.0827299961929788
20160208,96,0.65431321943685528
20160209,149,-0.41021819010583471
20160210,147,0.63252722000761485
20160211,177,-0.41303690444766339
20160212,131,-0.3480480296875344
20160213,40,0.21592018290723378
20160214,77,0.61261425548032766
20160215,174,-0.5146740650699364
20160216,288,0.27912438157017105
20160217,124,-0.51184361833261394
20160218,190,1.1399887911098598
20160219,118,0.042268336608901017
20160220,44,-0.304470559215657
20160221,24,-0.47264093770953031
20160222,105,0.3831593121119552
20160223,222,-0.8650432163900944
20160224,194,-0.444527363340484
20160225,133,-0.50268556271329745
20160226,170,0.4488012834603905
20160227,36,-0.16512952788514013
20160228,59,1.2463839197034481
20160229,197,-1.8675702378050276
20160301,167,0.36347517009572194
20160302,142,0.70192806534304075
20160303,358,-0.0036501358117153014
20160304,95,0.46698505083056668
20160305,35,0.66930993709224051
20160306,37,0.51382029079973734
20160307,169,0.03260798856454921
20160308,196,0.05880802948894568
20160309,153,0.33427302277817528
20160310,138,0.82894865957855857
20160311,125,-0.39064251886839868
20160312,51,0.581419569170337
20160313,34,0.018311756815667747
20160314,209,-0.28688969139675818
20160315,254,-0.12553020200656842
20160316,107,0.43606082000162172
20160317,154,0.23589141650825551
20160318,153,0.76802134463208171
20160319,45,0.30110119258968193
20160320,21,0.20498769934257935
20160321,100,-0.43094623599425896
20160322,135,-0.63385402523224865
20160323,170,-0.46936149485703021
20160324,148,0.43798468749107611
20160325,135,0.52656936434005586
20160326,25,-0.27007039593319465
20160327,26,0.40233426549136336
20160328,75,0.15987478897584217
20160329,118,0.22488586417707157
20160330,234,0.47380129868754706
20160331,179,0.97661245328584612
20160401,128,0.653896016754289
20160402,37,-0.57509540876984522
20160403,27,-0.40520156236894622
20160404,209,0.1752315446295844
20160405,273,0.23857965283527557
20160406,134,0.19564726053897005
20160407,216,0.34039814461746071
20160408,93,0.37641807955587531
20160409,30,-0.2507072603740591
20160410,31,-1.1623780575764677
20160411,142,0.77920535448889694
20160412,220,0.98306932489191012
20160413,297,-0.69404800143548429
20160414,155,0.541023960787839
20160415,45,-0.58472855749465336
20160416,18,-0.30675043440949229
20160417,17,1.4988940373092321
20160418,129,1.1137010381915646
20160419,97,-0.026389917179289651
20160420,124,-0.17729431054300929
20160421,197,-0.95028507035926824
20160422,112,0.28967723915782895
20160423,34,0.51493024670922671
20160424,38,0.2294002006017202
20160425,133,0.40057899900963007
20160426,107,0.8061946375271225
20160427,157,-1.2592321993173237
20160428,171,-0.23584879324544328
20160429,158,0.24048645848823036
20160430,35,0.045594345496733427
20160501,36,-0.55913526677298209
20160502,79,1.6460072820008662
20160503,100,0.31323031628896564
20160504,124,-0.25321871502370841
20160505,186,-1.1474667515332988
20160506,132,-0.0027468146410739094
20160507,42,-0.44172754109393431
20160508,96,-1.9617299970624278
20160509,186,-0.685537036824273
20160510,162,-0.22942654257538667
20160511,207,0.60696523580569428
20160512,337,0.19374644976653166
20160513,191,0.087805648314146736
20160514,43,0.702658801423328
20160515,53,-0.94751787934685072
20160516,190,-0.20558878866876812
20160517,140,0.25059537966643652
20160518,120,0.18248254850576959
20160519,187,0.013759359791087306
20160520,144,-0.31208705740511561
20160521,48,-0.3086794975996387
20160522,40,0.15971330346718737
20160523,56,0.84788087209661855
20160524,229,-0.55587522290396041
20160525,297,-1.3345346438311614
20160526,173,0.22960860540684064
20160527,130,-0.050953989684705159
20160528,31,0.41769837385563735
20160529,31,-2.0822962339676807
20160530,121,-1.0314599613156408
20160531,146,-0.077612943983733265
20160601,202,-1.1768425477261137
20160602,183,-0.47171597346143157
20160603,217,-0.8235004301662171
20160604,250,-0.89348837747302523
20160605,70,-0.94595099869171206
20160606,231,0.1195975760313111
20160607,255,1.7204757041268577
20160608,198,0.20659648474626943
20160609,367,-2.0298756431110556
20160610,158,-1.0960099785218662
20160611,49,-0.69186158462217284
20160612,28,0.034830706948534268
20160613,142,-0.63097481559267621
20160614,146,-0.53252699043038454
20160615,157,-0.21499827497283241
20160616,157,0.0764250445653387
20160617,149,-0.39989794840467274
20160618,72,-1.191970477916158
20160619,41,-1.2897926521352667
20160620,187,-0.46661976149187612
20160621,146,0.43685493980717016
20160622,158,-0.30084538484586881
20160623,186,0.10868921596406991
20160624,185,-0.32378886475403079
20160625,20,0.062098636082482082
20160626,43,0.64378539269276147
20160627,141,0.9959146583575551
20160628,163,0.089470629440282223
20160629,178,0.11907614896215606
20160630,159,0.42181382312199411
20160701,164,0.64624088900322341
20160702,170,0.19817745066570014
20160703,44,0.45059298829482153
20160704,86,0.36462110013554905
20160705,170,0.19974218662737145
20160706,168,0.32719571532954389
20160707,373,-1.31839760966252
20160708,128,-0.51583507854830923
20160709,34,0.286189394746063
20160710,32,-0.659217065667038
20160711,190,0.64488061124621787
20160712,151,0.57115981951408468
20160713,267,-0.704529875873296
20160714,192,-0.092933778486765012
20160715,174,0.0938875624504563
20160716,54,-0.921700617200739
20160717,34,-0.46470863368868814
20160718,102,0.6141107473131483
20160719,150,-0.503161321704354
20160720,128,0.7441703831573826
20160721,152,0.84047920072217586
20160722,126,0.239147284214152
20160723,35,0.52950109696607661
20160724,47,0.094325521378087585
20160725,155,0.51684931508988152
20160726,333,-1.7481911915477097
20160727,264,-1.7428754859674225
20160728,184,-0.19418254777839122
20160729,151,-0.24681774897587547
20160730,44,-0.537385415801245
20160731,47,0.25824544509051228
20160801,47,0.86181347728771907
20160802,217,-0.92437455307190008
20160803,154,-0.54479473786453791
20160804,217,-0.940263353098358
20160805,209,0.20072081497631378
20160806,57,-0.24949130708788586
20160807,37,-0.32748966846016603
20160808,107,0.0025800390785421096
20160809,192,0.014709681735319592
20160810,153,0.19763430914815022
20160811,199,-0.518084359014032
20160812,135,-0.30461480809813735
20160813,57,-0.49279690569243373
20160814,42,-0.88610159032873959
20160815,224,-0.5619694613220475
20160816,127,0.96499313598558267
20160817,234,0.30012574697534095
20160818,175,-1.0299105908236248
20160819,101,1.6204310652927874
20160820,57,-0.59240054987614987
20160821,30,0.9042612993204453
20160822,90,-0.30303197016468031
20160823,121,-0.16096482320949665
20160824,195,-0.2857302764458215
20160825,151,-0.15921454860434248
20160826,125,-0.35009215922139514
20160827,58,-2.9803044292274379
20160828,56,-1.5365186394722834
20160829,72,0.38287130059321045
20160830,194,-1.0657001200359693
20160831,156,-0.82601684839444689
20160901,168,0.025852285898146855
20160902,82,0.0025815914026117576
20160903,29,1.0025188995816927
20160904,30,-1.5032972314121074
20160905,42,0.33220380414768858
20160906,166,-2.0857928869570532
20160907,347,-0.775979862556711
20160908,138,-0.28963625121217534
20160909,132,-0.16503570637876172
20160910,73,-0.28959349756058722
20160911,51,-0.18176808798294036
20160912,113,0.73006106290249728
20160913,158,-0.55924420840599121
20160914,241,-0.8365654303859682
20160915,269,-1.5492300019138827
20160916,209,-1.6107004556501434
20160917,68,-0.5546854486468038
20160918,85,0.2381399514487022
20160919,114,0.50433256256497794
20160920,145,0.82316725618221587
20160921,120,0.48662989957037134
20160922,294,-1.9155776044173598
20160923,275,-1.7387338839545985
20160924,74,-1.4363510301572611
20160925,29,-1.5290183576193797
20160926,120,0.055806106551257575
20160927,142,0.51206130701177943
20160928,148,0.16932352041124055
20160929,131,0.36404500868157819
20160930,184,-0.13010355279280322
20161001,49,-0.18239330936896625
20161002,59,-0.80543449456703342
20161003,256,-1.3907433052761236
20161004,260,-1.4961544144333956
20161005,306,-1.1765683759848722
20161006,197,-0.8801405957485855
20161007,142,-0.53281819057651258
20161008,41,0.15973653287323397
20161009,54,-0.055815996225232409
20161010,64,0.6050319111727458
20161011,202,-0.22839907366839113
20161012,154,-0.67037794607830958
20161013,377,-0.49222558806636174
20161014,277,-0.90326929558214175
20161015,63,-0.70224797232209712
20161016,144,-0.0014854015158769149
20161017,248,-1.1493569956244516
20161018,237,-0.85526667919519672
20161019,271,-0.053402041780041543
20161020,290,0.24180391343918825
20161021,241,0.898916567028103
20161022,196,-0.571376318245684
20161023,46,-0.55550240378762694
20161024,147,-0.088622301433581033
20161025,118,0.8028090419157099
20161026,208,-0.9181075796718704
20161027,247,-0.065391315223824548
20161028,284,-0.53784771133523179
20161029,44,-0.36420711874348966
20161030,33,-0.40727979831868133
20161031,106,0.546395557670025
20161101,154,0.27772399415954957
20161102,128,0.89724834143698451
20161103,254,0.11812892110851665
20161104,287,-1.8585927260038182
20161105,71,-0.821053884389847
20161106,35,-0.48231072664684865
20161107,113,0.62046464226546172
20161108,217,-5.9031958785354249e-05
20161109,148,-0.25405930248873265
20161110,258,0.22500077856764686
20161111,114,0.49853033017169868
20161112,36,0.70479692585407272
20161113,59,-0.0914524225997974
20161114,203,-0.74784108050311882
