Id,Address,Bedrooms,Bathrooms,Type,Price
W4393740,"2 Anchor Dr, Toronto",2,1,Lower Level Bungalow-Raised,1650
C4337278,"483A Oriole Pkwy Bsmt, Toronto",1,1,Detached 2-Storey,1650
E4323201,"2939 St Clair Ave E Bsmt, Toronto",2,2,Detached Bungalow,1650
C4330900,"252 Soudan Ave, Toronto",1,1,Upper Level Bachelor/Studio,1650
W4388414,"916 Wilson Ave, Toronto",2,1,Store W/Apt/Offc Apartment,1675
C4392500,"125 Redpath Ave 1411, Toronto",1,1,Condo Apt Apartment,1675
W4384986,"16 Belgate Pl, Toronto",1,1,Detached Bungalow-Raised,1675
W4395178,"840 Queens Plate Dr 104, Toronto",2,1,Condo Apt Apartment,1690
C4395545,"652 Sheppard Ave W 2nd Fl, Toronto",3,1,Store W/Apt/Offc 2-Storey,1695
C4330269,"1 King St W 520, Toronto",1,1,Other Apartment,1695
W4380991,"150 Long Branch Ave 19, Toronto",1,1,Condo Townhouse Stacked Townhse,1695
C4369300,"1691A Bathurst St Bsmt, Toronto",1,1,Duplex 2-Storey,1695
C4370718,"365 Church St 210, Toronto",1,1,Condo Apt Apartment,1700
C4357401,"231 Fort York Blvd 915, Toronto",1,1,Condo Apt Apartment,1700
W4381973,"34 Bunnell Cres, Toronto",2,1,Detached Bungalow,1700
E4388757,"53 Gardentree St Bsmt, Toronto",2,1,Detached Apartment,1700
C4390837,"125 Redpath Ave 1711, Toronto",1,1,Condo Apt Apartment,1700
C4390944,"1801 Eglinton Ave W 211, Toronto",1,1,Condo Apt Apartment,1700
E4396916,"2245 Eglinton Ave E 208, Toronto",1,1,Condo Apt Apartment,1700
W4392740,"3031 Finch Ave W 2027, Toronto",1,1,Condo Townhouse Stacked Townhse,1700
C4354272,"15 Fort York Blvd, Toronto",1,2,Condo Apt Apartment,1700
W4364658,"154 Sorauren Ave Lvl, Toronto",1,1,Detached 2 1/2 Storey,1700
W4369120,"165 Legion Rd N 1323, Toronto",1,1,Condo Apt Bungalow,1700
C4371909,"209 Fort York Blvd 675, Toronto",1,1,Condo Apt Apartment,1700
C4390174,"128 Fairview Mall Dr 1409, Toronto",1,1,Condo Apt Apartment,1700
C4382158,"90 Stadium Rd 917, Toronto",1,1,Condo Apt Apartment,1700
E4398183,"9 Barrett ( Basement) Rd, Toronto",1,1,Detached Bungalow,1700
C4387965,"30 Mitchell Ave Bsmt, Toronto",1,1,Lower Level Apartment,1700
C4357382,"156 Spadina Rd 102, Toronto",1,1,Other Apartment,1700
C4396754,"219 Fort York Blvd 1207, Toronto",1,1,Condo Apt Apartment,1700
C4382920,"181 Dundas St E 508, Toronto",1,1,Condo Apt Apartment,1700
E4391896,"3650 Kingston Rd 415, Toronto",2,1,Condo Apt Apartment,1700
C4395043,"88 Charles St E 304, Toronto",1,1,Condo Apt Bachelor/Studio,1700
E4345513,"12 Garthwood Dr Basemen, Toronto",3,1,Lower Level Bungalow,1700
E4330895,"136 Purcell Sq Bsmt, Toronto",3,1,Detached 2-Storey,1700
C4370942,"68 Abell St 216, Toronto",1,1,Condo Apt Apartment,1700
C4393848,"125 Redpath Ave 1512, Toronto",1,1,Condo Apt Apartment,1720
E4380005,"344 Highfield Rd, Toronto",1,1,Semi-Detached Bungalow-Raised,1725
C4380088,"209 Fort York Blvd 1664, Toronto",1,1,Condo Apt Apartment,1750
C4390481,"717 Bay St 1105, Toronto",1,1,Condo Apt Bachelor/Studio,1750
C4394795,"50 Charles St E 602, Toronto",1,1,Condo Apt Bachelor/Studio,1750
C4386243,"460 Adelaide St E 503, Toronto",1,1,Condo Apt Apartment,1750
W4373186,"274 Boon Ave Main, Toronto",1,1,Detached 2-Storey,1750
C4373270,"7 Concorde Pl 710, Toronto",1,1,Condo Apt Apartment,1750
W4378886,"143 Springhurst Ave 1, Toronto",1,1,Detached Apartment,1750
C4382384,"170 Sumach St 1805, Toronto",1,1,Condo Apt Apartment,1750
C4370465,"215 Queen St W 1216, Toronto",1,1,Condo Apt Bachelor/Studio,1750
E4392228,"88 Alton Towers Circ 1003, Toronto",2,1,Condo Apt Apartment,1750
